Season,Covid,State,WeekTime,Time,ElectricityDemand,RegionalReferencePrice
Autumn,No,Tasmania,Weekday,21:30:00,1106.6528102189784,110.04631386861317
Autumn,No,Tasmania,Weekday,22:00:00,1075.1460948905108,108.10357664233574
Autumn,No,Tasmania,Weekday,22:30:00,1044.2662773722632,109.93536496350367
Autumn,No,Tasmania,Weekday,23:00:00,1012.9176277372262,105.98481751824829
Autumn,No,Tasmania,Weekday,23:30:00,988.8524817518248,110.65839416058397
Autumn,No,Tasmania,Weekend,00:00:00,963.3119266055045,109.1328440366972
Autumn,No,Tasmania,Weekend,00:30:00,946.7782568807337,105.54137614678898
Autumn,No,Tasmania,Weekend,01:00:00,934.8420183486239,113.11009174311926
Autumn,No,Tasmania,Weekend,01:30:00,928.9611926605506,109.53238532110096
Autumn,No,Tasmania,Weekend,02:00:00,926.4270642201833,106.91899082568803
Autumn,No,Tasmania,Weekend,02:30:00,926.3924770642205,110.33559633027522
Autumn,No,Tasmania,Weekend,03:00:00,922.914128440367,110.95752293577979
Autumn,No,Tasmania,Weekend,03:30:00,920.9125688073395,112.33009174311921
Autumn,No,Tasmania,Weekend,04:00:00,922.2311926605502,113.34954128440367
Autumn,No,Tasmania,Weekend,04:30:00,926.1782568807345,105.91550458715601
